id,title,singer
100165,Anh Hứa Rồi Lại Quên,Lâm Bảo Nam
100169,Anh Khác Họ Hai,A.L.T
100170,Anh Khác Người Ấy (Remix),Khắc Trung
100174,Anh Không Bao Giơ (Toi Jamais),Thanh Lan
100178,And If You Need Somebody,Bảo Thy & Vương Khang
100181,Anh Không Còn Tin Vào Tình Yêu,An Nam
100183,Anh Không Cần,Duy Cường & Luka Huy Phạm
100184,Anh Không Cần,Phạm Thiên Huy & Duy Cường
100185,Anh Không Cần Biết,Khánh Đăng
100186,Anh Không Cần Tình Em Gian Dối,Trí Hải
100188,Anh Không Giữ,Tiên Cookie
100189,Anh Không Hiểu (Remix DJ),Quang Hà
100191,Anh Không Hối Hận,Kim Quang Hải
100193,Anh Không Là Anh,Phạm Quỳnh Anh & Ưng Hoàng Phúc
100198,Anh Không Lại,Thanh Trúc
100201,Anh Không Muốn Chia Tay,Lưu Chí Vỹ
100205,Anh Không Muốn Mất Em,Ngô Huy Đồng
100209,Anh Không Muốn Thương Hại Em,Nhất Khang
100211,Anh Không Ngờ (Remix),Lưu Gia Thắng
100214,Anh Không Níu Kéo (Remix),Lâm Chấn Huy
100215,Anh Không Níu Kéo (Remix),Vĩ MJ
100219,Anh Không Níu Kéo Bốn,Lâm Chấn Huy
100220,Anh Không Phải Hạnh Phúc Của Em,Lâm Chấn Huy
100221,Anh Không Phải Đa Tình,Bảo Hưng
100230,Anh Không Chấp Nhận,Đức Thịnh
100232,Anh Không Muốn Làm Khổ Em,Lâm Chấn Khang
100236,Anh Không Thể Quay Lại Với Em,Phạm Khánh Hưng
100238,Anh Không Thể Sống Thiếu Em,Thiên Trường
100240,Anh Không Thể Yêu Hai Người,J8687
100241,Anh Không Tin,Dương Đình Trí
100247,Anh Không Đòi Quà,Karik & Only C
100251,Anh Là Ai,AT
100252,Anh Là Chàng Ngố,Thanh Hưng Idol
100253,Anh Là Chú Rể (Dj),Khánh Đơn
100258,Anh Là Gì Cuả Em,Long Tứ
100259,Anh Là Gì Cuả Em,Vân Quang Long
100264,Anh Là Người Ích Kỷ,Tammy Quỳnh
100265,Anh Là Người Đặc Biệt,Ngọc Thương Ruby
100268,Anh Là Tia Nắng Trong Em (Remix),Vĩnh Thiên Kim
100269,Anh Là Tia Nắng Trong Em,Hiền Thục
100271,Anh Lôn Phía Sau Em,Dương Hùng Khánh
100272,Anh Lầm,Thành Đại Siêu
100274,Anh Mong,Tây Giang
100280,Anh Mong Quay Về,Khang Vệt
100284,Anh Muốn Chia Tay,Phạm Kỳ Anh
100286,Anh Muốn Cầu Hôn Em (Remix),Lý Hào Nam
100287,Anh Muốn Dừng Cuộc Chơi,Lâm Chấn Khang
100295,Anh Muốn Nói Yêu Em,Don Hồ & Thiên Kí
100297,Anh Mãi Yêu Em,Ngô Huy Đồng
100300,Anh Mơ Về Em,Lê Toàn
100303,Anh Mới Chính Là Người Em Yêu (Remix),Phạm Trưởng
100305,Anh Nghèo Lắm Em Ơi,Lâm Chấn Huy
100307,Anh Ngoại Tình Em Biết,Nguyễn Đình Vũ
100308,Anh Người Xinh Đẹp Nhất Trần Gian,Trương Thảo Nhi
100309,Anh Nhận Ra (Remix),Khắc Việt
100311,Anh Nhớ Em,Mai Tuấn Anh
100318,Anh Nhớ Không Anh,Hạ Vy
100329,Anh Quá Nhẫn Tâm Với Em,Thảo Đô La
100332,Anh Quên Em Đi (Remix),Nipe
100342,Anh Sai Hay Em Sai,Hoàng Nhật Linh
100344,Anh Lại Về,Thiều Kỳ Anh
100345,Anh Muốn Chia Tay Phải Không (Remix),Lương Bích Hữu
100348,Anh Nỡ Quên Sao,Gia Linh
100354,Anh Sẽ Để Em Ra Đi,Châu Khải Phong
100357,Anh Sáu Xị,Châu Kiệt Phương
100359,Anh Sẽ Bương Tay,Quang Vinh
100361,Anh Sẽ Chờ,LinhRV & VomPC
100365,Anh Sẽ Cố Gắng Quên Em,Danh Hiếu
100369,Anh Sẽ Không Buồn,Nam Cường
100370,Anh Sẽ Không Khóc,Thành Lu
100375,Anh Sẽ Làm Quen,Lý Văn Long
100377,Anh Sẽ Mãi Là Người Em Yêu,Bảo Ngọc
100382,Anh Sẽ Quên Đi Tất Cả,Đinh Khải Anh
100385,Anh Sẽ Ra Đi,Vũ Thái Trung
100389,Anh Sẽ Trở Về,Trương Thế Vinh
100393,Anh Sẽ Vui.. Nếu,Tuấn Hưng
100394,Anh Sẽ Về (Remix),Khánh Trung
100395,Anh Sẽ Về,Khánh Trung
100397,Anh Sẽ Về Sớm Thôi,Ken Chou
100400,Anh Sẽ Đến Bên Em,Minh Thảo & Nhất Trung
100409,Anh Sợ Mất Em,365 Band
100411,Anh Sợ Yêu,Hoài Nam Bozo & Khắc Anh
100413,Anh Thèm Được Ngủ,Khói
100414,Anh Thì Không (Remix),Vĩnh Thiên Kim
100415,Anh Thì Không,Lương Minh Trang
100416,Angel,Hương Tràm
100417,Angel,Mai Tiến Dũng & Tóc Tiên
100420,Anh,Mỹ Lệ & Trần Tâm
100423,Anh Ba Hủ Tiếu & Cô Sáu Bún Riêu,Khang Lê & Lý Diệu Linh
100424,Anh Thích Em Như Xưa (Remix),Châu Khải Phong
100427,Anh Thích Em Như Xưa,Lương Gia Huy
100436,Anh Tin Ngày Ấy Em Về,Vĩ MJ
100438,Anh Tiền Tuyến Em Hậu Phương,Sơn Ca
100442,Anh Trách Mình Đến Sau,Đạt Jenoo
100443,Anh Trôi Về Em,Đăng Khoa Idol
100445,Anh Viết Tên Em Mùa Đông,Hoàng Hải Đăng
100449,Anh Vẫn Biết (Et Pourtant),Elvis Phương
100450,Anh Vẫn Biết,Anh Tú
100451,Anh Vẫn Biết,Huy Vũ
100453,Anh Vẫn Buồn Như Xưa,Andy Thanh
100454,Anh Vẫn Chờ,Hồng Dương M4U
100455,Anh Vẫn Chờ,La Phong Lâm
100464,Anh Về Với Em,Ngọc Minh & Thanh Phong
100465,Anh Xin Lỗi Em,Dương Khang
100466,Anh Yêu Người Khác Rồi (Remix),Khắc Việt
100468,Anh Đã Biết,Danny Nguyen
100476,Boulevard,Duy Hạnh
100478,Bâng Khuâng Trường Sa,Nhiều Ca Sỹ
100481,Canh Chim Lạc Lối,Lưu Minh Thắng
100482,Anh Vẫn Không Đổi Thay,Kenny Thái
100483,Anh Vẫn Không Đổi Thay,Lê Toàn
100496,Anh Về (Remix),Nam Du
100497,Anh Về Miền Tây,Cẩm Ly & Quốc Đại
100498,Anh Về Miền Tây,Huỳnh Tấn Sang
100500,Anh Về Một Chiều Mưa,Duy Khánh
100501,Anh Về Thủ Đô,Lâm Thúy Vân & Y Phụng
100503,Anh Về Với Em,Huy Sinh & Kim Anh
100504,Anh Về Với Em,Khả Tú
100505,Anh Về Với Em,Kim Anh
100506,Anh Về Với Em,Như Mai & Tuấn Vũ
100507,Anh Về Với Em,Tuấn Vũ
100508,Anh Về Với Em,Y Phụng
100509,Anh Xin Em Tha Thứ,Lâm Triều Vỹ
100510,Anh Xin Làm Cỏ Dại,Quang Dũng
100511,Anh Xin Làm Cỏ Lạ,Đinh Ngọc
100512,Anh Xin Lỗi (Remix),Minh Vương M4U
100513,Anh Xin Lỗi,Lê Hoàng Bảo Phong
100517,Anh Xin Lỗi Em,Châu Việt Cường
100519,Anh Yêu Em (Remix),Lương Gia Hùng
100521,Anh Yêu Em,Lý Văn Long
100522,Anh Yêu Em 2,Trần Phi Khanh
100524,Anh Yêu Em Nhiều Hơn Hôm Qua,Lâm Chấn Huy
100529,Anh Yêu Em Vẫn Chờ,Lâm Thái Uyên
100540,Anh Đi Chài Tôm,Đinh Vân & Hồng Vân
100543,Anh Đi Nha,Lý Phúc
100546,Anh Đi Qua Đời Em,Tinna Tình
100549,Anh Đi Về Nơi Đâu,Yến Phương
100550,Anh Đào Vàng,Đức Toàn
100551,Anh Đâu Em Đó,Shayla
100557,Anh Đã Bị Lừa,Cao Tùng Anh & Ba Chú Bộ Đội
100563,Anh Đã Không Thật Lòng,Lê Uyên Nhi
100564,Anh Đã Không Thể Ngăn Người Ra Đi,Ông Cao Thắng
100565,Anh Đã Không Yêu Thật Lòng,Lê Uyên Nhi
100570,Anh Đã Quá Vô Tâm,Hoàng Nhật Linh
100572,Anh Đã Quên Acoustic,Hà Nhi
100580,Anh Đã Thích Em Rồi,Lương Gia Huy & Hoàng Rapper
100585,Anh Đã Từng Yêu,Chu Bin
100586,Anh Đã Yêu Không Thật Lòng,Lê Uyên Nhi
100592,Anh Đẹp Trai Thiệt Mà,Châu Gia Kiệt
100593,Anh Đến Thăm Em Đêm 30,Don Hồ
100594,Anh Đến Thăm Em Đêm Ba Mươi,Don Hồ
100600,Anh Ơi Em Khóc Nhè,Song Thư
100601,Anh Ơi Em Phải Làm Sao,Soái Nhi
100607,Anh Ở Đầu Sông Em Ở Cuối Sông,Lan Anh
100608,Anyway,Juun Đăng Dũng
100611,Ao Cá Đợi Chờ,Tuấn Quỳnh
100612,Apologize,Hồ Đắc Chánh
100613,Arigatou Người Đã Đến,Trương Thảo Nhi & Jun 365
100616,Ba Năm Yêu Em Âm Thầm,Vũ Sơn
100617,Ba Phi Miệt Vườn,Đông Phương Tường
100618,Ba Quan,Dân Ca Quan Họ Bắc Ninh
100620,Ba Tháng Tạ Từ,Hằng Ni
100622,Ba Thằng Bạn,Karik
100623,Ba Thằng Bạn,Ưng Hoàng Phúc
100624,Ba Trăm Sáu Mươi Lăm Ngày Yêu (Remix),Lương Gia Huy
100625,Ba Điều Làm Em Hạnh Phúc,Vương Anh Tú
100626,Bad Boy,Đông Nhi
100627,Bad Girl,Vmusic
100628,Balo Đi Thôi,Nguyễn Quang Bin
100629,Bambino,Hoàng Thanh
100630,Ban Mai Ngày Xanh,Cẩm Ly & Nguyễn Lộc
100631,Ban Mai Ngày Xanh,Cẩm Ly
100632,Baby Anh Yêu Em,Ưng Hoàng Phúc
100633,Baby Baby,Monstar
100636,Baby Dont Go,Lam Trường
100637,Baby I Told You,Monstar
100639,Baby Xin Đừng Quay Gót,Bảo Thy
100640,Babybaby,Monstar
100643,Bang Bang (Remix),Lily Huệ
100644,Bang Bang,Mỹ Tâm
100647,Bao Giờ Biết Tương Tư,Đức Huy
100648,Bao Giờ Có Nhau,Khang Vệt
100650,Bao Giờ Có Được Em,Mạnh Quỳnh
100652,Bao Giờ Em Quên,Duy Khánh
100653,Bao Giờ Em Quên,Mạnh Quỳnh
100654,Bao Giờ Em Quên,Phi Nhung
100656,Bao Giờ Em Quên,Tuấn Vũ
100657,Bao Giờ Em Thấy Hiểu,Nguyễn Hoàng Tuấn
100658,Bao Giờ Người Trở Lại,Đàm Vĩnh Hưng
100659,Bao Giờ Ta Gặp Lại Ta,Hạ Vy
100660,Bao Giờ Ta Gặp Lại Ta,Tâm Đoan
100662,Bao La Tình Chúa,Gia Ân
100663,Bao La Tình Chúa,Nguyễn Sang
100664,Bao La Tình Ngài,Gia Ân
100665,Bao Lì Xì,Đức Phương
100666,Bao Lần Em Khóc (Remix),Kim Ny Ngoc
100670,Bao Đêm Không Ngủ,Christiane Lê
100672,Bao Đêm Không Ngủ,Mạnh Quỳnh
100673,Bay (Remix 2),Thu Minh
100675,Bay,Bảo Trâm & Hoang Quyen
100678,Bay Cùng Xuân,Bee T
100679,Bay Giữa Ngân Hà (Remix),Nam Cường
100684,Bay Lên Những Ước Mơ,V.Music
100688,Bay Theo Tiếng Mưa,Quỳnh Nga
100693,Bay Đi Cô Đơn,Thanh Thảo
100694,Bay Đi Những Cơn Mưa Phùn,Ngọc Huệ
100698,Biết Bao Giờ Trở Lại,Nguyễn Khang
100699,Biết Chưa Biết Còn,Lê Hằng
100701,Biết Em Chưa Thể Quên,Quang Vinh
100704,Biết Em Còn Nhỏ,Wendy Thảo
100705,Biết Em Còn Yêu Anh Không,Hồng Trúc
100706,Biết Em Không Còn Nhớ,Vpop
100707,Biết Em Không Trở Lại,Aartista Band
100708,Ba Nén Hương Trầm,Ái Xuân
100713,Bay Lên Em Ơi (Remix),Akira Phan
100716,Biết Khúc Cho Anh,Kiwi Ngô Mai Trang
100717,Biết Khổ Mà Vẫn Yêu,Vũ Hà
100722,Biết Nói Gì Đây,Họa Mi
100724,Biết Nói Là Tại Sao (Remix),Dj Thanh K & Khắc Việt
100726,Biết Nói Sao Cho Vừa,Tâm Đoan
100727,Biết Phải Làm Sao Khi Đứng Giữa Hai Người,Lâm Vũ
100728,Biết Ra Sao Ngày Sau,Thanh Lan
100731,Biết Sẽ Xa Nhau,Ngô Huy
100732,Biết Số Ba,Cao Tâm
100733,Biết Số Sáu,Khánh Trâm
100735,Biết Trả Lời Sao,Lâm Quốc Hùng
100743,Biết Yêu Lần Đầu,Ngọc Bích
100749,Biết Đâu Nguồn Cội,Don Hồ & Ngọc Lan
100750,Biết Đâu Nguồn Cội,Phi Nhung
100752,Biết Đâu Tìm,Tâm Đoan
100753,Biết Đến Bao Giờ,Hà Thanh Xuân & Tuấn Vũ
100755,Biết Đến Bao Giờ,Tuấn Vũ & Hà Thanh Xuân
100756,Biết Đến Bao Giờ,Tuấn Vũ
100757,Biết Đến Bao Giờ,Tâm Đoan
100758,Biết Đến Thuở Nào,Từ Đức Khải
100759,Biết Đến Thuở Nào,Vũ Khanh
100760,Biết Ơn Chị Võ Thị Sáu,Mỹ Hạnh
100761,Biển,Tấn Minh
100763,Biển Chiều,Ngọc Bích
100764,Biển Chờ,Bằng Kiều
100768,Biển Cả Đã Mòn,Giang Trường
100770,Biển Hát Chiều Nay,Lan Anh
100772,Biển Hát Lời Anh Ca,Anh Thơ
100773,Biển Khát,Diễm Liên
100775,Biển Khơi Niềm Nhớ,Kim Anh
100776,Biển Mơ,Elvis Phương
100780,Biển Nhớ,Thanh Hà & Quang Dũng
100782,Biển Nhớ,Đình Trung
100786,Biển Thầm,Tô Chấn Phong
100787,Biển Trắng Pha Lê,Cẩm Ly
100788,Biển Tuyết,Phi Nhung
100789,Biển Tình,Anh Thơ
100791,Biển Tình,Dương Kim Phương
100793,Biển Tình,Sơn Tuyền
100801,Biển Xa Tình Yêu,Hoàng Hải Đăng & Thủy Đặng
100802,Biển Đau,Như Mai
100803,Biển Đau,Phi Nhung
100804,Biển Đau,Trúc Quyên
100805,Biển Đêm,Thục Nhi
100806,Biển Đêm,Tiến Thành
100807,Biển Đảo Việt Nam (Remix),Tâm Minhon
100809,Biển Đổi Đời Con,Thùy Dương
100810,Biển Động Dậy Sóng (Remix),Quách Tuấn Du
100811,Biển Động Dậy Sóng,Quách Tuấn Du
100812,Biển Ơi,Quang Linh
100815,Biệt Khúc Cho Nhau,Đan Trường & Triệu Vy
100816,Biệt Khúc Cho Nhau,Đan Trường & Triệu Vy
100817,Biệt Khúc Mùa Đông,Lý Long
100822,Biệt Ly Trắng,Mạnh Quân & Mr T
100823,Blouse Trắng,Quốc Định
100828,Buông Tay Hãy Lặng Im,Ưng Hoàng Phúc
100830,Buông Tay Là Cách Anh Chọn,Lee Thiên Bảo
100831,Buông Tay Lặng Im,Châu Ngọc Hiếu & Havan Trần
100832,Buông Tay Để Anh Đi,Lâm Vũ
100834,Buông Đôi Tay Nhau Ra,Sơn Tùng MTP
100835,Buồn & Men Say Nồng,Kỳ Phương Uyên & Trịnh Lam
100837,Biết Khi Nào Gặp Lại,Nha Nguyễn
100838,Biết Phải Làm Sao,Tuấn Ngọc
100840,Biết Đến Bao Giờ & Đêm Dài Chiến Tuyến,Phương Hồng Quế
100844,Biển Đau,Tâm Đoan
100845,Biệt Khúc Cho Tình Nhân,Thanh Lan
100846,Buồn,Anh Thư
100847,Buồn,Kenny Thái
100848,Buồn,Khang Vệt
100849,Buồn,Kim Anh
100850,Buồn,Lê Trí
100851,Buồn,Mạnh Quỳnh
100853,Buồn,Thiên Kim
100857,Buồn Chi Em,Trường Vũ
100858,Buồn Con Sao Sậu,Duy Trường
100859,Buồn Con Sao Sậu,Quốc Đại
100861,Buồn Của Anh (Remix),La Hoàng Phúc
100862,Buồn Của Anh (Remix),Vương Bảo Nam
100864,Buồn Của Em,Trương Linh Đan
100865,Buồn Của Em,Wendy Thảo
100867,Buồn Giăng Lối Đêm,Tú Quyên
100871,Buồn Không Em,Thanh Tuyền
100875,Buồn Mà Chi Em,Mỹ Huyền
100876,Buồn Mà Chi Em,Phương Mai
100877,Buồn Mà Chi Em,Trường Vũ
100878,Buồn Mãi Quanh Ta,Thái Hiền
100879,Buồn Mình Em,Cẩm Ly & Đan Trường
100881,Buồn Như Lá Rừng,Phương Thanh
100883,Buồn Trong Kỷ Niệm,Hà My
