,Unnamed: 0,title,singer,id,Genre,Lyric
0,0,Anh Hứa Rồi Lại Quên,Lâm Bảo Nam,,"Việt Nam, V-Pop","Anh hứa sẽ luôn chung tình 
 Dù đời ngang trái rẽ chia đôi mình 
 Anh hứa mãi yêu mình em 
 Để rồi giờ đây lạnh lùng quay bước 
 Mơ ước đã thôi không thành 
 Thì người yêu ơi trách chi cũng đành 
 Em khóc bao chiều biệt ly 
 Lệ tình đẫm ướt giấc mộng xuân thì 
 Đêm vô thường từ anh xa vắng 
 Nhớ anh trong từng kỷ niệm cay đắng 
 Em đâu ngờ cuộc tình nên thơ 
 Giờ đã như mơ giấc mơ vội tan 
 Người tình ơi xin anh hãy nhớ 
 Trái tim này vẫn in sâu bóng hình 
 Dẫu phương xa anh đi mãi 
 Tháng năm mình em bơ vơ cõi tình 
 Nụ hồng trong phong ba 
 Vẫn ngát hương trinh 
 Và sắc hoa luôn thắm màu 
 Chờ người về dệt mộng yêu đương 
 Xóa bao sầu vương 
 Hiu hắt dấu sau môi cười 
 Đời em sau trước mãi yêu một người 
 Anh hỡi bước chân tình si 
 Một lần người đi để rồi quên lối 
 Anh đã dối em thật nhiều 
 Đường tình mình em 
 Xót xa trăm chiều 
 Em vẫn tin một ngày mai 
 Đường tình chung lối 
 Bên người lâu dài 
 Anh hứa sẽ luôn chung tình 
 Dù đời ngang trái rẽ chia đôi mình 
 Anh hứa mãi yêu mình em 
 Để rồi giờ đây lạnh lùng quay bước 
 Mơ ước đã thôi không thành 
 Thì người yêu ơi trách chi cũng đành 
 Em khóc bao chiều biệt ly 
 Lệ tình đẫm ướt giấc mộng xuân thì 
 Đêm vô thường từ anh xa vắng 
 Nhớ anh trong từng kỷ niệm cay đắng 
 Em đâu ngờ cuộc tình nên thơ 
 Giờ đã như mơ giấc mơ vội tan 
 Người tình ơi xin anh hãy nhớ 
 Trái tim này vẫn in sâu bóng hình 
 Dẫu phương xa anh đi mãi 
 Tháng năm mình em bơ vơ cõi tình 
 Nụ hồng trong phong ba 
 Vẫn ngát hương trinh 
 Và sắc hoa luôn thắm màu 
 Chờ người về dệt mộng yêu đương 
 Xóa bao sầu vương 
 Hiu hắt dấu sau môi cười 
 Đời em sau trước mãi yêu một người 
 Anh hỡi bước chân tình si 
 Một lần người đi để rồi quên lối 
 Anh đã dối em thật nhiều 
 Đường tình mình em 
 Xót xa trăm chiều 
 Em vẫn tin một ngày mai 
 Đường tình chung lối 
 Bên người lâu dài"
1,1,Anh Khác Họ Hai,A.L.T,,"Việt Nam, V-Pop","Gió lạnh vì trong lòng 
 Anh nhớ em vô cùng 
 Giờ đây em ở bên ai 
 Chắc em đang hạnh phúc 
 Ước gì nỗi đau này 
 Có thể nói thành lời 
 Vì yêu em thôi 
 Mà giờ ta chia đôi 
 Anh sống nhưng phải 
 Cố gắng gượng cười 
 Em đã quên đi anh 
 En đã yêu một người 
 Sao anh không thể yêu 
 Thêm một người mới 
 Anh đã sai khi yêu 
 Em quá chân thành 
 Để giờ anh quên 
 Em thật khó khăn. 
 Thời gian trôi qua cũng lâu lắm 
 Sao vết thương vẫn chưa lành 
 Em biết không anh cần 
 Một vòng tay như lúc xưa 
 Nụ hôn trao nhau ngày 
 Mưa em đã quên thật chưa 
 Những kỷ niệm vẫn 
 Theo anh đến bây giờ 
 Tại sao phải yêu nhau như thế 
 Trao đến nhau những nụ cười 
 Trao biết bao vui buồn 
 Lại trao nước mắt rơi 
 Tại sao không như là em 
 Quên hết bao buồn vui 
 Đến khi nào anh mới 
 Hết giá băng trong lòng. 
 Gió lạnh vì trong lòng 
 Anh nhớ em vô cùng 
 Giờ đây em ở bên ai 
 Chắc em đang hạnh phúc 
 Ước gì nỗi đau này 
 Có thể nói thành lời 
 Vì yêu em thôi 
 Mà giờ ta chia đôi 
 Anh sống nhưng phải 
 Cố gắng gượng cười 
 Em đã quên đi anh 
 En đã yêu một người 
 Sao anh không thể yêu 
 Thêm một người mới 
 Anh đã sai khi yêu 
 Em quá chân thành 
 Để giờ anh quên 
 Em thật khó khăn. 
 Thời gian trôi qua cũng lâu lắm 
 Sao vết thương vẫn chưa lành 
 Em biết không anh cần 
 Một vòng tay như lúc xưa 
 Nụ hôn trao nhau ngày 
 Mưa em đã quên thật chưa 
 Những kỷ niệm vẫn 
 Theo anh đến bây giờ 
 Tại sao phải yêu nhau như thế 
 Trao đến nhau những nụ cười 
 Trao biết bao vui buồn 
 Lại trao nước mắt rơi 
 Tại sao không như là em 
 Quên hết bao buồn vui 
 Đến khi nào anh mới 
 Hết giá băng trong lòng. 
 Thời gian trôi qua cũng lâu lắm 
 Sao vết thương vẫn chưa lành 
 Em biết không anh cần 
 Một vòng tay như lúc xưa 
 Nụ hôn trao nhau ngày 
 Mưa em đã quên thật chưa 
 Những kỷ niệm vẫn 
 Theo anh đến bây giờ 
 Tại sao phải yêu nhau như thế 
 Trao đến nhau những nụ cười 
 Trao biết bao vui buồn 
 Lại trao nước mắt rơi 
 Tại sao không như là em 
 Quên hết bao buồn vui 
 Đến khi nào anh mới 
 Hết giá băng trong lòng. 
 Tại sao không như là em 
 Quên hết bao buồn vui 
 Đến khi nào anh mới 
 Hết giá băng trong lòng."
2,2,Anh Khác Người Ấy (Remix),Khắc Trung,,"Việt Nam, V-Pop","Phải chăng tình yêu 
 Lúc vui lúc buồn, 
 Thế nên người ta 
 Hay giận nhau vô cớ 
 Lúc vui thì yêu 
 Cho nhau rất nhiều, 
 Nhưng lúc buồn đau 
 Dỗi hờn hay trách nhau. 
 Rồi khi người đi 
 Cách xa nơi này, 
 Mới hay nhận ra 
 Không còn ai thay thế 
 Với anh thì không, 
 Sẽ mãi yêu em hoài cho 
 Đến ngày sau không 
 Gì thay thế đâu. 
 Vì tình yêu anh luôn trao 
 Cho em mãi luôn bền lâu, 
 Dù có ra sao anh 
 Vẫn yêu đậm sâu. 
 Dẫu cho ai bảo anh 
 Không nên yêu em thật lòng, 
 Cho đến ngày sau lại 
 Càng thêm đớn đau 
 Này người yêu ơi! 
 Mong em hiểu anh 
 Mãi luôn gần anh, 
 Dù có phong ba ta 
 Vẫn luôn vượt qua 
 Để con tim hiểu nhau mang 
 Theo yêu thương trọn đời, 
 Chẳng giống người ta 
 Ngập tràn bao xót xa... 
 Phải chăng tình yêu 
 Lúc vui lúc buồn, 
 Thế nên người ta 
 Hay giận nhau vô cớ 
 Lúc vui thì yêu 
 Cho nhau rất nhiều, 
 Nhưng lúc buồn đau 
 Dỗi hờn hay trách nhau. 
 Rồi khi người đi 
 Cách xa nơi này, 
 Mới hay nhận ra 
 Không còn ai thay thế 
 Với anh thì không, 
 Sẽ mãi yêu em hoài cho 
 Đến ngày sau không 
 Gì thay thế đâu. 
 Vì tình yêu anh luôn trao 
 Cho em mãi luôn bền lâu, 
 Dù có ra sao anh 
 Vẫn yêu đậm sâu. 
 Dẫu cho ai bảo anh 
 Không nên yêu em thật lòng, 
 Cho đến ngày sau lại 
 Càng thêm đớn đau 
 Này người yêu ơi! 
 Mong em hiểu anh 
 Mãi luôn gần anh, 
 Dù có phong ba ta 
 Vẫn luôn vượt qua 
 Để con tim hiểu nhau mang 
 Theo yêu thương trọn đời, 
 Chẳng giống người ta 
 Ngập tràn bao xót xa... 
 Vì tình yêu anh luôn trao 
 Cho em mãi luôn bền lâu, 
 Dù có ra sao anh 
 Vẫn yêu đậm sâu. 
 Dẫu cho ai bảo anh 
 Không nên yêu em thật lòng, 
 Cho đến ngày sau lại 
 Càng thêm đớn đau 
 Này người yêu ơi! 
 Mong em hiểu anh 
 Mãi luôn gần anh, 
 Dù có phong ba ta 
 Vẫn luôn vượt qua 
 Để con tim hiểu nhau mang 
 Theo yêu thương trọn đời, 
 Chẳng giống người ta 
 Ngập tràn bao xót xa..."
3,3,Anh Không Bao Giơ (Toi Jamais),Thanh Lan,,,
4,4,And If You Need Somebody,Bảo Thy & Vương Khang,,Việt Nam,"Say good night 
 Em ơi 
 Nhớ đêm bao đam mê 
 Anh gửi vào tim em 
 Close your eyes 
 Be quiet 
 Ngón tay thon còn chặt 
 Chẳng thể nào buông lơi 
 Từng nhịp nhấp môi 
 Em chẳng nghe 
 Em chẳng thấy 
 Chỉ là câu anh yêu em 
 Không thể 
 Nhìn đôi mắt 
 Ngoan khép 
 Lòng chợt yên bình 
 I hope to stay 
 For a while 
 Ghé sát bờ má 
 Áp Đôi môi mềm 
 Làn mi níu 
 Từng giọt lệ hạnh phúc lăn 
 Biết không thể nói 
 Với em 
 Mong sao em thấu 
 Lòng anh đang ấm áp 
 Vì em 
 Ghé sát bờ má 
 áp đôi môi mềm 
 Rồi tim bỗng 
 Nghẹn lại chẳng thể nói thêm 
 And if you need 
 Somebody 
 Sẽ có anh luôn bên em 
 Tìm thấy chốn yên bình', ""It's dreaming"", 'Em ơi 
 Hãy luôn ôm riêng tim em 
 Những nốt nhạc đêm nay', ""It's so right"", ""I'm fine"", 'Mãi không quên theo em 
 Bằng nhịp thở tim anh 
 Và em sẽ tin anh 
 Dù anh không cần hứa 
 Rồi thời gian 
 Trôi sẽ úa tim em 
 Vì cần anh 
 Khi muốn lòng hoài yên bình 
 I hope to stay 
 For a while 
 Ghé sát bờ má 
 Áp Đôi môi mềm 
 Làn mi níu 
 Từng giọt lệ hạnh phúc lăn 
 Biết không thể nói 
 Với em 
 Mong sao em thấu 
 Lòng anh đang ấm áp 
 Vì em 
 Ghé sát bờ má 
 áp đôi môi mềm 
 Rồi tim bỗng 
 Nghẹn lại chẳng thể nói thêm 
 And if you need 
 Somebody 
 Sẽ có anh luôn bên em 
 Tìm thấy chốn yên bình"
5,5,Anh Không Còn Tin Vào Tình Yêu,An Nam,,"Rap Việt, Việt Nam",
6,6,Anh Không Cần,Duy Cường & Luka Huy Phạm,,"Việt Nam, V-Pop","Anh không can đảm 
 Khi nhìn em thấy vui 
 Anh không mạnh mẽ 
 Khi thấy em bên người 
 Anh không vui 
 Khi nhìn em cùng ai 
 Sánh bước nhưng không phải là anh 
 Anh ích kỷ 
 Chỉ vì anh quá yêu 
 Anh không thể nói 
 Những lời tốt đẹp ấy 
 Anh chưa từng yêu một ai 
 Như là em 
 Con tim chưa từng khóc 
 Chưa từng bị tổn thương 
 Anh không thể chúc phúc 
 Cho em đâu người hỡi 
 Bởi hạnh phúc trong anh là với em 
 Anh không như người ta 
 Dù có như thế nào 
 Thì cũng mong 
 Cho người yêu được hạnh phúc 
 Anh không thể tha thứ 
 Và không thể bao dung 
 Dù anh biết anh sẽ trống vắng 
 Trong những đêm giá lạnh 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 đã không còn được vui 
 Anh không can đảm 
 Khi nhìn em thấy vui 
 Anh không mạnh mẽ 
 Khi thấy em bên người 
 Anh không vui 
 Khi nhìn em cùng ai 
 Sánh bước nhưng không phải là anh 
 Anh ích kỷ 
 Chỉ vì anh quá yêu 
 Anh không thể nói 
 Những lời tốt đẹp ấy 
 Anh chưa từng yêu một ai 
 Như là em 
 Con tim chưa từng khóc 
 Chưa từng bị tổn thương 
 Anh không thể chúc phúc 
 Cho em đâu người hỡi 
 Bởi hạnh phúc trong anh là với em 
 Anh không như người ta 
 Dù có như thế nào 
 Thì cũng mong 
 Cho người yêu được hạnh phúc 
 Anh không thể tha thứ 
 Và không thể bao dung 
 Dù anh biết anh sẽ trống vắng 
 Trong những đêm giá lạnh 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 đã không còn được vui 
 Anh không thể chúc phúc 
 Cho em đâu người hỡi 
 Bởi hạnh phúc trong anh là với em 
 Anh không như người ta 
 Dù có như thế nào 
 Thì cũng mong 
 Cho người yêu được hạnh phúc 
 Anh không thể tha thứ 
 Và không thể bao dung 
 Dù anh biết anh sẽ trống vắng 
 Trong những đêm giá lạnh 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 đã không còn được vui 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 Đã không còn được vui"
7,7,Anh Không Cần,Phạm Thiên Huy & Duy Cường,,"Việt Nam, V-Pop","Anh không can đảm 
 Khi nhìn em thấy vui 
 Anh không mạnh mẽ 
 Khi thấy em bên người 
 Anh không vui 
 Khi nhìn em cùng ai 
 Sánh bước nhưng không phải là anh 
 Anh ích kỷ 
 Chỉ vì anh quá yêu 
 Anh không thể nói 
 Những lời tốt đẹp ấy 
 Anh chưa từng yêu một ai 
 Như là em 
 Con tim chưa từng khóc 
 Chưa từng bị tổn thương 
 Anh không thể chúc phúc 
 Cho em đâu người hỡi 
 Bởi hạnh phúc trong anh là với em 
 Anh không như người ta 
 Dù có như thế nào 
 Thì cũng mong 
 Cho người yêu được hạnh phúc 
 Anh không thể tha thứ 
 Và không thể bao dung 
 Dù anh biết anh sẽ trống vắng 
 Trong những đêm giá lạnh 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 đã không còn được vui 
 Anh không can đảm 
 Khi nhìn em thấy vui 
 Anh không mạnh mẽ 
 Khi thấy em bên người 
 Anh không vui 
 Khi nhìn em cùng ai 
 Sánh bước nhưng không phải là anh 
 Anh ích kỷ 
 Chỉ vì anh quá yêu 
 Anh không thể nói 
 Những lời tốt đẹp ấy 
 Anh chưa từng yêu một ai 
 Như là em 
 Con tim chưa từng khóc 
 Chưa từng bị tổn thương 
 Anh không thể chúc phúc 
 Cho em đâu người hỡi 
 Bởi hạnh phúc trong anh là với em 
 Anh không như người ta 
 Dù có như thế nào 
 Thì cũng mong 
 Cho người yêu được hạnh phúc 
 Anh không thể tha thứ 
 Và không thể bao dung 
 Dù anh biết anh sẽ trống vắng 
 Trong những đêm giá lạnh 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 đã không còn được vui 
 Anh không thể chúc phúc 
 Cho em đâu người hỡi 
 Bởi hạnh phúc trong anh là với em 
 Anh không như người ta 
 Dù có như thế nào 
 Thì cũng mong 
 Cho người yêu được hạnh phúc 
 Anh không thể tha thứ 
 Và không thể bao dung 
 Dù anh biết anh sẽ trống vắng 
 Trong những đêm giá lạnh 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 đã không còn được vui 
 Nụ cười ấy trong anh 
 Vẫn nguyên vẹn thế kia 
 Nhưng từ lâu 
 Đã không còn được vui"
8,8,Anh Không Cần Biết,Khánh Đăng,,Việt Nam,"Anh nghe con tim 
 Con tim ấm nồng. 
 Tình yêu xua tan 
 Xua tan gía băng. 
 Anh nghe bao nhiêu 
 Bao nhiêu ngỡ ngàng ? 
 Tình đến xoá những ngăn cách thời gian. 
 Vì anh biết lời hứa mỏng manh. 
 Người đâu biết riêng em tình anh. 
 Và anh sẽ không nói lời yêu . 
 Người nào hay trong lòng anh ? 
 Anh không cần biết. 
 Em đi em đến nơi đâu 
 Ngày xanh không cần biết . 
 Mai sau em có phôi pha 
 Tình anh không cần biết . 
 Vì rằng tình yêu nói chi 
 Ngày mai hay là trong quá khứ. 
 Anh không cần biết . 
 Con tim em trót trao ai 
 Ngày xưa không cần biết . 
 Bao nhiêu thương nhớ 
 Ngóng trông chiều mưa vì anh bíêt. 
 Trọn đời này anh sẽ yêu người thôi. 
 Yêu người thôi. 
 Anh nghe con tim 
 Con tim ấm nồng. 
 Tình yêu xua tan 
 Xua tan gía băng. 
 Anh nghe bao nhiêu 
 Bao nhiêu ngỡ ngàng ? 
 Tình đến xoá những ngăn cách thời gian. 
 Vì anh biết lời hứa mỏng manh. 
 Người đâu biết riêng em tình anh. 
 Và anh sẽ không nói lời yêu . 
 Người nào hay trong lòng anh ? 
 Anh không cần biết. 
 Em đi em đến nơi đâu 
 Ngày xanh không cần biết . 
 Mai sau em có phôi pha 
 Tình anh không cần biết . 
 Vì rằng tình yêu nói chi 
 Ngày mai hay là trong quá khứ. 
 Anh không cần biết. 
 Con tim em trót trao ai 
 Ngày xưa không cần biết . 
 Bao nhiêu thương nhớ 
 Ngóng trông chiều mưa vì anh bíêt. 
 Trọn đời này anh sẽ yêu người thôi. 
 Yêu người thôi. 
 Anh không cần biết . 
 Em đi em đến nơi đâu 
 Ngày xanh không cần biết . 
 Mai sau em có phôi pha 
 Tình anh không cần biết . 
 Vì rằng tình yêu nói chi 
 Ngày mai hay là trong quá khứ. 
 Anh không cần biết 
 Con tim em trót trao ai 
 Ngày xưa không cần biết . 
 Bao nhiêu thương nhớ 
 Ngóng trông chiều mưa vì anh bíêt. 
 Trọn đời này anh sẽ mãi yêu người thôi. 
 Yêu người thôi"
9,9,Anh Không Cần Tình Em Gian Dối,Trí Hải,,,
