,title,singer,id,Genre,Lyric
10000,The Day You Went Away,M2M,,"Âu Mỹ, Pop",
10001,Willow,Taylor Swift,,"Âu Mỹ, Alternative","On your front door step 
 Oh, oh, wait a minute 
 I think I left my consciousness 
 In the sixth dimension', ""But I'm here right now, right now"", 'Just sitting in a cloud, oh wow', ""I'm here right now"", 'Right now with you 
 Oh wow, oh wow', ""I don't even care"", ""I'll run my hands through your hair"", 'You wanna run your fingers through mine 
 But my dreads too thick', ""And that's alright"", 'Hold on, wait a minute', ""Feel my heart's intention, oh"", 'Hold on, wait a minute 
 I left my consciousness in the sixth dimension 
 Left my soul in his vision', ""Let's go get it, oh, oh"", ""Let's go get it, oh, oh"", ""Some things don't work"", 'Some things are bound to be 
 Some things, they hurt 
 And they tear apart me 
 You left your diary at my house 
 And I read those pages 
 Do you really love me, baby', ""Some things don't work"", 'Some things are bound to be 
 Some things, they hurt 
 And they tear apart me 
 But I broke my word 
 And you were bound to see 
 And I cried at the curb 
 When you first said, oel ngati kameie 
 Hold on, wait a minute', ""Feel my heart's intention, oh"", 'Hold on, wait a minute 
 I left my consciousness in the sixth dimension 
 Left my soul in his vision', ""Let's go get it, oh, oh"", ""Let's go get it, oh, oh"", 'Some people like to live', ""Some just tryin' to get by"", ""Some people I can't hurt"", 'Some just rather say goodbye, bye 
 Hold on, wait a minute', ""Feel my heart's intention, oh"", 'Hold on, wait a minute 
 I left my consciousness in the sixth dimension 
 Left my soul in his vision', ""Let's go get it, oh, oh"", ""Let's go get it, oh, oh"
10002,3h Đêm,Killic,,,
10003,Dừng Thương (Cover),Soái Nhi,,Việt Nam,
10004,Em Say Rồi  (Tone nam),Minh Vương M4U,,,
10005,Gánh Mẹ Acoustic,Phương Phương Thảo,,,"Cho con gánh mẹ một lần 
 Cả đời mẹ đã tảo tần gánh con 
 Cho con gánh mẹ đầu non 
 Cả lòng mẹ đã gánh con biển trời 
 Ngày xưa mẹ gánh à ơi 
 Con xin gánh lại những lời mẹ ru 
 Đường đời sương gió mịt mù 
 Vì con hạnh phúc 
 Chẳng từ gian nan 
 Để con gánh mẹ đừng can 
 Sợ khi mẹ mất muộn màng gánh ai 
 Cho con gánh cả tháng dài 
 Gánh qua năm ròng 
 Những ngày đắng cay 
 Cho con gánh cả đôi vai 
 Thân cò lặn lội sớm mai vai gầy 
 Mẹ già lá sắp xa cây 
 Lỡ đâu lá rụng tội này gánh sao 
 Mẹ ơi sóng biển dạt dào 
 Con sao gánh hết 
 Công lao một đời 
 Bông hồng cài áo đúng nơi 
 Đâu bằng bông hiếu 
 Giữa trời bao la 
 Cho con gánh lại mẹ già 
 Để sau người gánh 
 Chính là con con 
 Cho con gánh mẹ một lần 
 Cả đời mẹ đã tão tần gánh con 
 Cho con gánh mẹ đầu non 
 Cả lòng mẹ đã gánh con biển trời 
 Ngày xưa mẹ gánh à ơi 
 Con xin gánh lại những lời mẹ ru 
 Đường đời sương gió mịt mù 
 Vì con hạnh phúc 
 Chẳng từ gian nan 
 Để con gánh mẹ đừng can 
 Sợ khi mẹ mất muộn màng gánh ai 
 Cho con gánh cả tháng dài 
 Gánh qua năm ròng 
 Những ngày đắng cay 
 Cho con gánh cả đôi vai 
 Thân cò lặn lội sớm mai vai gầy 
 Mẹ già lá sắp xa cây 
 Lỡ đâu lá rụng tội này gánh sao 
 Mẹ ơi sóng biển dạt dào 
 Con sao gánh hết 
 Công lao một đời 
 Bông hồng cài áo đúng nơi 
 Đâu bằng bông hiếu 
 Giữa trời bao la 
 Cho con gánh lại mẹ già 
 Để sau người gánh 
 Chính là con con 
 Cho con gánh cả đôi vai 
 Thân cò lặn lội sớm mai vai gầy 
 Mẹ già lá sắp xa cây 
 Lỡ đâu lá rụng tội này gánh sao 
 Mẹ ơi sóng biển dạt dào 
 Con sao gánh hết 
 Công lao một đời 
 Bông hồng cài áo đúng nơi 
 Đâu bằng bông hiếu 
 Giữa trời bao la 
 Cho con gánh lại mẹ già 
 Để sau người gánh 
 Chính là con con 
 Để sau người gánh 
 Chính là con con"
10006,Hóa Tương Tư (Remix),Anh Rồng,,"Việt Nam, Dance Việt","Nguyện muôn kiếp lòng mãi 
 Chôn sâu một mối tình 
 Cuộc tình ta giờ đã hết 
 Cõi lòng em như đã chết 
 Tình yêu nơi em 
 Năm tháng chẳng thể xóa tan 
 Một khi lao vào yêu là tương tư 
 Thương nhớ không phai 
 Lòng tự hỏi năm tháng 
 Mai sau còn tương phùng 
 Người đã mang tình duyên đến 
 Nay người đi hoa héo tàn 
 Nhận ra bao lâu chôn dấu 
 Cuộc tình trái ngang 
 Có duyên không nợ 
 Nay duyên tình tan 
 Chôn vùi bao kỉ niệm dấu yêu 
 Thu qua đông đến nhưng tim 
 Không quên được bóng hình 
 Hồng trần như mây phiêu du 
 Năm tháng trôi vô tình 
 Mà trong nhân gian 
 Người đời đâu có hay 
 Khi ta còn yêu 
 Ân tình trao nồng nàn thiết tha 
 Thề hẹn suốt kiếp bên nhau 
 Chẳng bao giờ cách rời 
 Giờ này anh đang nơi đâu 
 Em như cánh hoa không màu 
 Người đã quay lưng 
 Quên hết lời yêu lúc xưa 
 Dù cho kiếp này anh và em 
 Không nên mối lương duyên 
 Nguyện muôn kiếp lòng mãi 
 Chôn sâu một mối tình 
 Cuộc tình ta giờ đã hết 
 Cõi lòng em như đã chết 
 Tình yêu nơi em 
 Năm tháng chẳng thể xóa tan 
 Một khi lao vào yêu là tương tư 
 Thương nhớ không phai 
 Lòng tự hỏi năm tháng 
 Mai sau còn tương phùng 
 Người đã mang tình duyên đến 
 Nay người đi hoa héo tàn 
 Nhận ra bao lâu chôn dấu 
 Cuộc tình trái ngang 
 Có duyên không nợ 
 Khi ta còn yêu 
 Ân tình trao nồng nàn thiết tha 
 Thề hẹn suốt kiếp bên nhau 
 Chẳng xa rời 
 Thà rằng mình không quen nhau 
 Nay hoa đã không u sầu 
 Người đã quay lưng 
 Quên hết lời yêu lúc xưa 
 Dù cho kiếp này anh và em 
 Không nên mối lương duyên 
 Nguyện muôn kiếp lòng mãi 
 Chôn sâu một mối tình 
 Cuộc tình ta giờ đã hết 
 Cõi lòng em như đã chết 
 Tình yêu nơi em 
 Năm tháng chẳng thể xóa tan 
 Một khi lao vào yêu là tương tư 
 Thương nhớ không phai 
 Lòng tự hỏi năm tháng 
 Mai sau còn tương phùng 
 Người đã mang tình duyên đến 
 Nay người đi hoa héo tàn 
 Nhận ra bao lâu chôn dấu 
 Cuộc tình trái ngang 
 Có duyên không nợ"
10007,Hương Dã Quỳ,"Luxi, Lonewolf",,"Việt Nam, Rock Việt","Mênh mông núi 
 Mênh mang cao nguyên 
 Lung linh Dã Quỳ, tình yêu nồng nàn 
 Heo heo gió núi, hoang sơ cao nguyên 
 Sắc hương Dã Quỳ, tình em nồng ấm 
 Ta tìm nhau giữa rừng xanh 
 Ngút ngàn thông, cao nguyên xanh 
 Mãi tình yêu dành cho anh 
 Yêu anh, thương anh trọn đời 
 Dòng nước mắt anh 
 Hằn đáy mắt em rơi biển hồ 
 Biển hồ cao nguyên 
 Giọt máu thấm ba zan 
 Ngàn nắng gió ba zan 
 Vấn vương Dã Quỳ trong nắng gió 
 Để mãi mãi yêu 
 Tình thắm mong manh xuyên biển hồ 
 Biển hồ cao nguyên 
 Giọt máu thấm ba zan 
 Thề mãi mãi bên nhau 
 Vấn vương Dã Quỳ trong sương gió 
 Ngàn năm yêu nhau! 
 Chuyện tình cao nguyên! 
 Ngàn năm bên nhau! 
 Tình yêu cao nguyên! 
 Mênh mông núi 
 Mênh mang cao nguyên 
 Lung linh Dã Quỳ, tình yêu nồng nàn 
 Heo heo gió núi, hoang sơ cao nguyên 
 Sắc hương Dã Quỳ, tình em nồng ấm 
 Ta tìm nhau giữa rừng xanh 
 Ngút ngàn thông, cao nguyên xanh 
 Mãi tình yêu dành cho anh 
 Yêu anh, thương anh trọn đời 
 Dòng nước mắt anh 
 Hằn đáy mắt em rơi biển hồ 
 Biển hồ cao nguyên 
 Giọt máu thấm ba zan 
 Ngàn nắng gió ba zan 
 Vấn vương Dã Quỳ trong nắng gió 
 Để mãi mãi yêu 
 Tình thắm mong manh xuyên biển hồ 
 Biển hồ cao nguyên 
 Giọt máu thấm ba zan 
 Thề mãi mãi bên nhau 
 Vấn vương Dã Quỳ trong sương gió 
 Ngàn năm yêu nhau! 
 Chuyện tình cao nguyên! 
 Ngàn năm bên nhau! 
 Tình yêu cao nguyên! 
 Ngàn năm yêu nhau! 
 Chuyện tình cao nguyên! 
 Ngàn năm bên nhau! 
 Tình yêu cao nguyên!"
10008,Người Khác Lối,Khánh Phong,,"Việt Nam, V-Pop","Có một người luôn yêu em đậm sâu 
 Dù là mưa nắng 
 Khó khăn hay u sầu 
 Rồi đến một ngày em đã đổi thay 
 Em đã yêu thêm ai rồi 
 Sự thật nay anh đã thấy 
 Hai người hai lối 
 Kết thúc thôi từ đây 
 Hôm qua ta còn chung đôi 
 Nhưng hôm nay em đi bên ai rồi 
 Vậy mà em hứa 
 Chỉ yêu mình anh thôi 
 Yêu thương trong anh dần trôi 
 Anh đâu muốn đôi ta phải xa rời 
 Giờ đành chia đôi 
 Em vui bên người mới 
 Bao nhiêu kỉ niệm bên nhau 
 Anh chôn giấu 
 Giờ đây đã phai màu 
 Thà đừng gặp nhau 
 Đến bên nhau để rồi làm nhau đau 
 Nếu lỡ mai này 
 Ai kia xa lánh em rồi 
 Thì đừng cố giữ 
 Như xa anh vậy thôi 
 Một người sợ khác lối 
 Đi tìm một người buông lơi 
 Thôi hết rồi những ngày ấy 
 Rồi đến một ngày em đã đổi thay 
 Em đã yêu thêm ai rồi 
 Sự thật đây anh đã thấy 
 Hai người hai lối 
 Kết thúc thôi từ đây 
 Hôm qua ta còn chung đôi 
 Nhưng hôm nay em đi bên ai rồi 
 Vậy mà em hứa 
 Chỉ yêu mình anh thôi 
 Yêu thương trong anh dần trôi 
 Anh đâu muốn đôi ta phải xa rời 
 Giờ đành chia đôi 
 Em vui bên người mới 
 Bao nhiêu kỉ niệm bên nhau 
 Anh chôn giấu 
 Giờ đây đã phai màu 
 Thà đừng gặp nhau 
 Đến bên nhau để rồi làm nhau đau 
 Nếu lỡ mai này 
 Ai kia xa lánh em rồi 
 Thì đừng cố giữ 
 Như xa anh vậy thôi 
 Hôm qua ta còn chung đôi 
 Nhưng hôm nay em đi bên ai rồi 
 Vậy mà em hứa 
 Chỉ yêu mình anh thôi 
 Yêu thương trong anh dần trôi 
 Anh đâu muốn đôi ta phải xa rời 
 Giờ đành chia đôi 
 Em vui bên người mới 
 Bao nhiêu kỉ niệm bên nhau 
 Anh chôn giấu 
 Giờ đây đã phai màu 
 Thà đừng gặp nhau 
 Đến bên nhau để rồi làm nhau đau 
 Nếu lỡ mai này 
 Ai kia xa lánh em rồi 
 Thì đừng cố giữ 
 Như xa anh vậy thôi 
 Thì đừng cố giữ 
 Như xa anh vậy thôi"
10009,I Know,Eun Jung,,"Việt Nam, Dance Việt","Rồi nhìn mây phiêu lãng... 
 Dấu hết nỗi nhớ 
 Với những vết xước anh ngủ quên 
 Lạc vào trong mơ 
 Những nỗi buồn không biết tên 
 Không biết tên trong giấc mơ 
 Vu vơ trong anh một ngày 
 Không còn em ở đây 
 Bàn tay ấy ở đâu? 
 Giữa những cơn gió kéo về 
 Bên em anh là ai? 
 Mà bình yên cho anh đến vậy 
 Bên em anh nhận ra 
 Muộn phiền trôi qua sau nụ cười 
 Yêu thương vụt mất 
 Thật quá nhanh khiến anh sững sờ 
 Chỉ cần một phút ta dối lòng 
 Anh đã biết anh dối lừa 
 I know, I know , I know 
 Anh đã biết giữ em 
 Chẳng thể mãi đâu mà 
 You know 
 Lời xin lỗi 
 Cũng không thể nào giúp cho 
 Ngược thời gian, ngày còn em 
 Để anh xóa hết những sai lầm. 
 Chẳng biết đến bao giờ 
 Người đừng thờ ơ 
 Chẳng biết đến khi nào 
 Sẽ tìm lại được một người ở trong mơ 
 Oh oh ... Con đường dài 
 Oh oh ... Lặng bước mệt nhoài 
 Oh oh ... Tìm về những nỗi nhớ 
 Mà em hững hờ 
 Bên em anh là ai? 
 Mà bình yên cho anh đến vậy 
 Bên em anh nhận ra 
 Muộn phiền trôi qua sau nụ cười 
 Yêu thương vụt mất 
 Thật quá nhanh khiến anh sững sờ 
 Chỉ cần một phút ta dối lòng 
 Anh đã biết anh dối lừa 
 I know, I know , I know 
 Anh đã biết giữ em 
 Chẳng thể mãi đâu mà 
 You know 
 Lời xin lỗi 
 Cũng không thể nào giúp cho 
 Ngược thời gian, ngày còn em 
 Để anh xóa hết những sai lầm. 
 Nắng sẽ tan, gió sẽ mang 
 Cô đơn theo từng đêm về 
 Nơi em nhìn, xa mây ngàn 
 Luôn luôn sẽ có một người ở đây 
 Nắng sẽ tan, gió sẽ mang 
 Cô đơn theo từng đêm về 
 Nơi em nhìn, xa mây ngàn 
 Luôn luôn sẽ có một người ở đây 
 Và I know... You know 
 I know... You know 
 Và I know... You know 
 I....know"
