,title,singer,id,Genre,Lyric
9000,Ruoc Tinh Ve Voi Que Huong,Le Tram-Lily Hue,,"Việt Nam, Nhạc Trữ Tình","Em xin đưa anh về 
 về quê hương yêu dấu 
 em xin đưa anh về 
 về quê hương tuyệt trần 
 đèn trăng treo tuốt trên cao 
 ánh sao chưng muôn ngọn nến 
 lập lòe đom đốóm hoa đăng 
 rước dâu em đi vào làng 
 Em theo anh đi về 
 về quê hương ta sống 
 em theo anh đi về 
 tình quê hương mặn nồng 
 đồng xanh như gái chưa con 
 lúa nhung xôn xao chào đón 
 bầy chim nghệ sĩ khoe khoang 
 thấy em đua nhau hòa đàn 
 Em thấy không em 
 em thấy không em 
 em thấy không em 
 quê hương ta ơi 
 quê hương tuyệt vời 
 quê hương tuyệt vời 
 gió mát trăng thanh 
 ôi gió mát trăng thanh 
 ru tình ta như sóng ru 
 con thuyền tình 
 Em thấy không em 
 em thấy không em 
 em thấy không em 
 quê hương ta ơi 
 quê hương tuyệt vời 
 quê hương tuyệt vời 
 Nước mát hoa thơm 
 ôi nước mát hoa thơm 
 đưa tình ta đi tới 
 giấc mơ tuyệt vời 
 Em theo anh đi về 
 Về quê hương ta đó 
 Em theo anh đi về 
 Về quê hương đậm đà 
 Đường tre che mát đôi ta 
 Có con chim sâu chỉ lối 
 Vườn cao thơm ngát hương hoa 
 Hỡi em theo anh vào nhà 
 Em thấy không em 
 em thấy không em 
 em thấy không em 
 quê hương ta ơi 
 quê hương tuyệt vời 
 quê hương tuyệt vời 
 gió mát trăng thanh 
 ôi gió mát trăng thanh 
 ru tình ta như sóng ru 
 con thuyền tình 
 Em thấy không em 
 em thấy không em 
 em thấy không em 
 quê hương ta ơi 
 quê hương tuyệt vời 
 quê hương tuyệt vời 
 Nước mát hoa thơm 
 ôi nước mát hoa thơm 
 đưa tình ta đi tới 
 giấc mơ tuyệt vời 
 Em theo anh đi về 
 Về quê hương ta đó 
 Em theo anh đi về 
 Về quê hương đậm đà 
 Đường tre che mát đôi ta 
 Có con chim sâu chỉ lối 
 Vườn cao thơm ngát hương hoa 
 Hỡi em theo anh vào nhà 
 Đường tre che mát đôi ta 
 Có con chim sâu chỉ lối 
 Vườn cao thơm ngát hương hoa 
 Hỡi em theo anh vào nhà"
9001,SUONG CHIEU TU ANH,Kim Chi,,"Nhạc Không Lời, Việt Nam",
9002,Suong Lanh Chieu Dong,Phi Nhung,,"Việt Nam, Nhạc Trữ Tình","Chiều xưa phai nắng 
 Dấu mòn đưa lối 
 Soi bóng chung đôi 
 Mà hóa chia phôi 
 Sương lạnh chiều đông 
 Vương tiếng thở 
 Của người nguyện đợi chờ 
 Nghẹn ngào giờ tiễn đưa 
 Chợt thấy lòng như 
 Rớt giữa hư vô 
 Đưa tiễn nhau đi 
 Ngại những đêm mưa 
 Đêm chập chờn buông 
 Lên giấc mộng 
 Em vẫn thường gặp anh 
 Như lúc xưa nơi sân trường 
 Anh lên đường trăm hướng 
 Em ở lại sầu thương 
 Buốt giá câu thơ 
 Những lúc đêm mơ 
 Ướp cánh hoa xưa 
 Vẫn nhớ hương chờ 
 Mà đắm trong nghẹn ngào 
 Mười năm mơ kết mây 
 Thành hoa trắng 
 Hoa vỡ mây tan 
 Tàn giấc mơ hoa 
 Anh hãy về đây 
 Trong giá lạnh 
 Vẫn nghe nồng hơi ấm 
 Của tâm hồn trọn mơ 
 Anh lên đường trăm hướng 
 Em ở lại sầu thương 
 Buốt giá câu thơ 
 Những lúc đêm mơ 
 Ướp cánh hoa xưa 
 Vẫn nhớ hương chờ 
 Mà đắm trong nghẹn ngào 
 Mười năm mơ kết mây 
 Thành hoa trắng 
 Hoa vỡ mây tan 
 Tàn giấc mơ hoa 
 Anh hãy về đây 
 Trong giá lạnh 
 Vẫn nghe nồng hơi ấm 
 Của tâm hồn trọn mơ 
 Anh hãy về đây 
 Trong giá lạnh 
 Vẫn nghe nồng hơi ấm 
 Của tâm hồn 
 Trọn mơ"
9003,Tam Hon Xao Dong,Nguyễn Hưng,,Việt Nam,"Đời anh như con thuyền trôi 
 Giữa dòng sông mênh mông lãng du 
 Cơn gió êm ru tháng năm 
 lòng hoang vắng 
 Rồi hôm nay không là mơ 
 Vòng tay em ru anh làm thơ 
 Biết mong chờ 
 Anh biết bay giờ anh đã yêu 
 Thuyền anh trôi trên sông tình em 
 Em đã cho anh giây phút xao động 
 Người ơi cho anh được yêu 
 Cho anh được có em 
 Người yêu ơi anh như người say 
 Em có hay em là bến neo dừng 
 Người ơi xin em đừng đi 
 Xin em đừng hững hờ 
 Chờ em trên con đường xa 
 bóng hình em như muôn sắc hoa 
 Trong nắng mai 
 ta sánh vai cùng nhau đến 
 chân trời yêu 
 Đời anh như con thuyền trôi 
 Giữa dòng sông mênh mông lãng du 
 Cơn gió êm ru tháng năm 
 lòng hoang vắng 
 Rồi hôm nay không là mơ 
 Vòng tay em ru anh làm thơ 
 Biết mong chờ 
 Anh biết bay giờ anh đã yêu 
 Thuyền anh trôi trên sông tình em 
 Em đã cho anh giây phút xao động 
 Người ơi cho anh được yêu 
 Cho anh được có em 
 Người yêu ơi anh như người say 
 Em có hay em là bến neo dừng 
 Người ơi xin em đừng đi 
 Xin em đừng hững hờ 
 Thuyền anh trôi trên sông tình em 
 Em đã cho anh giây phút xao động 
 Người ơi cho anh được yêu 
 Cho anh được có em 
 Người yêu ơi anh như người say 
 Em có hay em là bến neo dừng 
 Người ơi xin em đừng đi 
 Xin em đừng hững hờ 
 ôi tình yêu"
9004,Tam Su Nguoi Hat Nhac Buon,Vũ Tuấn,,,
9005,TELL ME WHY,Soobin Hoàng Sơn,,"Việt Nam, Rap Việt","Young music and free flow', ""you know I'm Mr.A yo"", 'Khoác chiếc áo em vội vàng 
 bước xuống phố khi muộn màng 
 Nơi đâu em đắm trong chìm sâu 
 khi quay cuồng dưới ánh đèn màu 
 Please please don’t lie to me', ""Just cuz I can't see"", 'Nhưng nơi trong con tim của em 
 không mong hơn 1 nhịp đập 
 Tại sao em như thế 
 em vui trong từng cơn mê 
 trong phút thăng hoa 
 em quên luôn con đường về 
 Nhìn nó đi em 
 Thân xác em tàn tạ 
 Nhìn rõ không em 
 Em còn được lại những gì 
 Sống trong điều nào đó 
 nói anh về điều đó 
 Tại vì sao em mang cho anh những ưu phiền 
 Bước trên đoạn đường mưa 
 chút ánh đèn vàng thưa 
 Tại sao em mang cho anh những ưu phiền 
 Tell me why tell me why tell me why 
 you want me back babeeee 
 Tell me why tell me why tell me why 
 you want me back babeeee 
 Nơi đó bước chân em vội vã 
 tìm về chốn nào quá ồn ã 
 con đường mịt mùng thì sẽ phải 
 có 1 lúc nào đó em vấp ngã 
 không có ngày tương phùng em à 
 không có cơ hội khác đâu mà 
 Có cả đến trăm nghìn ngã rẽ 
 em đã chọn 1 lối 
 với rất nhiều lý lẽ và đó là 
 bay xuyên qua màn đêm 
 và cuộc đời mình không êm đềm 
 Bồng bềnh 1 chút phiêu lãng 
 mọi thứ trôi vào dĩ vãng 
 Nơi khuôn mặt xinh tươi 
 với đôi môi em cười 
 Và ngày mai nắng sẽ tắt 
 con đường này lạnh ngắt 
 Sống trong điều nào đó 
 nói anh về điều đó 
 Tại vì sao em mang cho anh những ưu phiền 
 Bước trên đoạn đường mưa 
 chút ánh đèn vàng thưa 
 Tại sao em mang cho anh những ưu phiền 
 Tell me why tell me why tell me why 
 you want me back babeeee 
 Tell me why tell me why tell me why 
 you want me back babeeee"
9006,Tham Mo Me,Như Quỳnh,,"Việt Nam, Nhạc Trữ Tình","Con về thăm mộ mẹ 
 Cỏ xanh tự bao giờ 
 Trời cao chi lắm thế 
 Để con đợi bơ vơ 
 Con nhìn quanh mộ mẹ 
 Tưởng như trời đất quay 
 Đất trời ơi chẳng lẽ 
 Mẹ tôi nằm ở đây 
 Ai đốt lửa đêm mưa 
 Cho mẹ ấm bây giờ 
 Ai mặc thêm áo nữa 
 Cho mẹ như ngày xưa 
 Con quỳ quanh mộ mẹ 
 Nghĩa trang buồn hắt hiu 
 Gió lạnh rung rặng liễu 
 Mẹ bây giờ ở đâu 
 Mẹ bây giờ ở đâu 
 Hương ấm bay xa rồi 
 Ôi xiết bao ngậm ngùi 
 Đau lòng lắm mẹ ơi 
 Tại sao đành bỏ con 
 Lay lắt trong đau buồn 
 Ôi tiếc thương ngập hồn 
 Mẹ sao đành bỏ con 
 Ầu ơ dí dầu cầu ván đóng đinh 
 Cầu tre lắc lẻo gập ghềnh khó đi 
 Khó đi ba dắt con đi 
 Con đi trường học má đi trường đời 
 Ai đốt lửa đêm mưa 
 Cho mẹ ấm bây giờ 
 Ai mặc thêm áo nữa 
 Cho mẹ như ngày xưa 
 Con quỳ quanh mộ mẹ 
 Nghĩa trang buồn hắt hiu 
 Gió lạnh rung rặng liễu 
 Mẹ bây giờ ở đâu 
 Mẹ bây giờ ở đâu 
 Hương ấm bay xa rồi 
 Ôi xiết bao ngậm ngùi 
 Đau lòng lắm mẹ ơi 
 Tại sao đành bỏ con 
 Lay lắt trong đau buồn 
 Ôi tiếc thương ngập hồn 
 Mẹ sao đành bỏ con 
 Tại sao đành bỏ con 
 Lay lắt trong đau buồn 
 Ôi tiếc thương ngập hồn 
 Mẹ sao đành bỏ con"
9007,There is only one you in the world,Chenxi,,"Âu Mỹ, Classical",
9008,THIEN SU TREN DINH NUI,Trung Thảo,,,
9009,Thoi,Hồ Quang Hiếu,,"Việt Nam, Nhạc Trữ Tình","Người giờ sang ngang 
 Để mình tôi lẻ bóng riêng mang 
 Đời bạc như vôi 
 Khi tình tôi đã trao em rồi 
 Thôi lỡ duyên tình 
 Nhìn người cất bước sang sông 
 Người giờ yên vui 
 Nơi giàu sang nhung gấm lụa là 
 Một mình tôi mang 
 Bao sầu đau thao thức đêm đêm 
 Chờ đợi tin ai mong 
 Ngày mai em sẽ quay lại 
 Để mối duyên xưa 
 Cùng tôi đắp xây duyên tình 
 Rồi từng ngày trôi qua 
 Lòng tôi đã phai nhạt tình 
 Còn gì đâu nữa mà trông 
 Khi người ta đã xây tình mới 
 Rời xa bến tình yêu 
 Mà tôi nhói đau trong lòng 
 Ôm tuổi phận long đong 
 Nhìn người ta bước đi theo chồng 
 Giờ còn riêng tôi ôm 
 Niềm đau giấu kín trong lòng 
 Phận đời như sông 
 Trôi về đâu nước lớn nước ròng 
 Tình hợp rồi tan 
 Biệt ly ai biết đâu ngờ 
 Như lục bình kia 
 Chợt thấy nhau lướt đi vô tình 
 Người giờ yên vui 
 Nơi giàu sang nhung gấm lụa là 
 Một mình tôi mang 
 Bao sầu đau thao thức đêm đêm 
 Chờ đợi tin ai mong 
 Ngày mai em sẽ quay lại 
 Để mối duyên xưa 
 Cùng tôi đắp xây duyên tình 
 Rồi từng ngày trôi qua 
 Lòng tôi đã phai nhạt tình 
 Còn gì đâu nữa mà trông 
 Khi người ta đã xây tình mới 
 Rời xa bến tình yêu 
 Mà tôi nhói đau trong lòng 
 Ôm tuổi phận long đong 
 Nhìn người ta bước đi theo chồng 
 Giờ còn riêng tôi ôm 
 Niềm đau giấu kín trong lòng 
 Phận đời như sông 
 Trôi về đâu nước lớn nước ròng 
 Tình hợp rồi tan 
 Biệt ly ai biết đâu ngờ 
 Như lục bình kia 
 Chợt thấy nhau lướt đi vô tình 
 Tình hợp rồi tan 
 Biệt ly ai biết đâu ngờ 
 Như lục bình kia 
 Chợt thấy nhau lướt đi vô tình"
